name,cls,n,flag,cat,ean,jan,isbn,pref
ProtoArc,C_英数字のみ,4,中小候補,パソコン・周辺機器,0,False,False,
PHILIPS,C_英数字のみ,4,大手/海外疑い,家電＆カメラ,14,False,False,489
バッファロー,B_和名(法人格なし),4,大手/海外疑い,パソコン・周辺機器,4,True,False,498
SoundPEATS(サウンドピーツ),B_和名(法人格なし),4,中小候補,家電＆カメラ,12,False,False,694
‎バーベイタム(Verbatim),B_和名(法人格なし),4,中小候補,パソコン・周辺機器,4,True,False,499
Makita(マキタ),B_和名(法人格なし),4,中小候補,DIY・工具・ガーデン,3,False,False,008
BOIFUN,C_英数字のみ,4,中小候補,家電＆カメラ,2,False,False,079
KADOKAWA,C_英数字のみ,4,中小候補,本,7,True,True,978
愛知電線,B_和名(法人格なし),4,中小候補,産業・研究開発用品,4,True,False,457
コナミデジタルエンタテインメント(Konami Digital Entertainment),B_和名(法人格なし),4,中小候補,ゲーム,4,True,False,498
ワーナー・ブラザース・ホームエンターテイメント,B_和名(法人格なし),4,大手/海外疑い,DVD,4,True,False,454
BURTLE,C_英数字のみ,4,大手/海外疑い,産業・研究開発用品,2,True,False,457
すごろくや,B_和名(法人格なし),4,中小候補,おもちゃ,4,True,False,457
Hoxhyon,C_英数字のみ,4,中小候補,ホーム＆キッチン,4,False,False,079
Lexar,C_英数字のみ,4,中小候補,パソコン・周辺機器,5,False,False,084
HAGOOGI,C_英数字のみ,4,中小候補,スポーツ＆アウトドア,4,True,False,458
Razer(レイザー),B_和名(法人格なし),4,中小候補,パソコン・周辺機器,4,True,False,457
HEIBAS,C_英数字のみ,3,中小候補,家電＆カメラ,0,False,False,
KIOXIA,C_英数字のみ,3,中小候補,パソコン・周辺機器,5,True,False,458
Yaizk,C_英数字のみ,3,中小候補,家電＆カメラ,3,False,False,535
Runbod,C_英数字のみ,3,中小候補,パソコン・周辺機器,1,False,False,075
CPWORLD,C_英数字のみ,3,中小候補,DIY・工具・ガーデン,0,False,False,
GADEBAO,C_英数字のみ,3,中小候補,パソコン・周辺機器,2,False,False,075
Besecou,C_英数字のみ,3,中小候補,家電＆カメラ,0,False,False,
詰め替えそのまま,B_和名(法人格なし),3,中小候補,ホーム＆キッチン,3,True,False,456
TANITA,C_英数字のみ,3,中小候補,ホーム＆キッチン,6,True,False,490
ラブホーム美家,B_和名(法人格なし),3,中小候補,ホーム＆キッチン,3,False,False,076
HUAKUA,C_英数字のみ,3,中小候補,家電＆カメラ,3,False,False,506
Eufy (ユーフィ),B_和名(法人格なし),3,大手/海外疑い,ホーム＆キッチン,3,False,False,019
Aliliy,C_英数字のみ,3,中小候補,ホーム＆キッチン,1,False,False,076
サンワダイレクト,B_和名(法人格なし),3,中小候補,家電＆カメラ,5,True,False,496
四日市ばんこ焼 【日本製】,B_和名(法人格なし),3,中小候補,ホーム＆キッチン,3,True,False,453
Fochai,C_英数字のみ,3,中小候補,ホーム＆キッチン,0,False,False,
Penguin,C_英数字のみ,3,中小候補,洋書,3,False,True,978
Brook,C_英数字のみ,3,中小候補,ゲーム,3,True,False,471
KT,C_英数字のみ,3,中小候補,ゲーム,3,True,False,498
レベルファイブ,B_和名(法人格なし),3,中小候補,ゲーム,3,True,False,457
Biwin,C_英数字のみ,3,中小候補,パソコン・周辺機器,3,False,False,088
小学館,B_和名(法人格なし),3,中小候補,本,1,True,False,491
JIT,C_英数字のみ,3,大手/海外疑い,パソコン・周辺機器,0,False,False,
happilaff,C_英数字のみ,3,中小候補,ホーム＆キッチン,0,False,False,
Rolling Square,C_英数字のみ,3,中小候補,パソコン・周辺機器,3,False,False,764
宝島社,B_和名(法人格なし),3,中小候補,本,4,True,True,978
Universal Pictures,C_英数字のみ,3,中小候補,DVD,3,False,False,505
BANDAI SPIRITS(バンダイ スピリッツ),B_和名(法人格なし),3,大手/海外疑い,ホビー,3,True,False,454
Krunia,C_英数字のみ,3,中小候補,車＆バイク,0,False,False,
SanDisk,C_英数字のみ,3,大手/海外疑い,パソコン・周辺機器,4,False,False,061
アイリスオーヤマ(IRIS OHYAMA),B_和名(法人格なし),3,大手/海外疑い,DIY・工具・ガーデン,5,True,False,490
Betenet,C_英数字のみ,3,中小候補,DIY・工具・ガーデン,0,False,False,
ブシロード(BUSHIROAD),B_和名(法人格なし),3,中小候補,おもちゃ,3,True,False,457
Turtleback,C_英数字のみ,3,中小候補,洋書,3,False,True,978
SBクリエイティブ,B_和名(法人格なし),3,中小候補,本,3,False,True,978
NBCユニバーサル・エンターテイメントジャパン(LAQ),B_和名(法人格なし),3,中小候補,DVD,3,True,False,498
Random House Books for Young Readers,C_英数字のみ,3,中小候補,洋書,3,False,True,978
Johnny & Associates,C_英数字のみ,3,中小候補,DVD,1,True,False,459
Paramount Home Entertainment,C_英数字のみ,3,中小候補,DVD,3,False,False,401
iface,C_英数字のみ,3,中小候補,家電＆カメラ,3,True,False,457
ワーナーミュージック・ジャパン,B_和名(法人格なし),3,中小候補,DVD,3,True,False,458
