exhibitor,booth,class
ALPAKA・Found Pocket・Packet Packers,東7-SL22,海外表記(国内から仕入れられない)
大塚孝商店,東7-JB04,PASS
GREEN LIGHT（株）,東3-T26-43,海外表記(国内から仕入れられない)
GELIST,東7-T39-30,海外表記(国内から仕入れられない)
高邦商事（株）,東7-JB03,商社・代理店・デザイン(メーカー直でない)
ALBETTA,西1-T08-08,海外表記(国内から仕入れられない)
（有）大辻漆器,西3-T39-03,PASS
クリフメイヤー,東7-SL11,PASS
ciel serein／シエル スラン,東7-MC50,PASS
ALLEX atempe,東7-MC31,海外表記(国内から仕入れられない)
シェンリ,東7-T50-27,PASS
（有）高橋工芸,西1-T12-05,PASS
アロエホーム,西2-T25-11,PASS
OVER SEAS,東2-T19-30,海外表記(国内から仕入れられない)
久留米商工会議所 メイドイン久留米展,東7-T46-20,団体・自治体・教育機関(メーカーでない)
（株）sion works,東7-MC21,海外表記(国内から仕入れられない)
（株）高柳製茶,東7-Ｔ48-02,PASS
ARTQ ORGANICS／興和江守,西2-T34-10,海外表記(国内から仕入れられない)
Overview Coffee,西1-AC-35,海外表記(国内から仕入れられない)
Grateful Import,東2-T19-30,海外表記(国内から仕入れられない)
滋賀県商工会連合会,西3-T44-04,団体・自治体・教育機関(メーカーでない)
多気町商工会,西3-T45-02,団体・自治体・教育機関(メーカーでない)
awasaka（株）,西1-T06-13,海外表記(国内から仕入れられない)
てづくり／（株）大橋新治商店,西2-T35-01,PASS
滋賀丸石自転車販売（株）,西3-T44-04,PASS
Taguchi／タグチクラフテック,西4-T51-10,PASS
（株）阿波友禅工場,西4-SO-20,PASS
（株）大橋製作所,西3-T44-10,PASS
（株）竹上,東3-T29-40,PASS
アンデックスシューズプロダクト,東7-T35-34,PASS
（有）大橋量器（枡工房ますや）,西3-T44-13,PASS
クレオ ハキハキ工房,東3-T25-41,PASS
（株）磁気研究所,東2-T18-28,PASS
（有）TAKE-i,西4-T54-11,海外表記(国内から仕入れられない)
ANTGAUGE,東7-MC47,海外表記(国内から仕入れられない)
OPEN FACTORY CITY YAO,西1-T01-15,海外表記(国内から仕入れられない)
クレシェンド,西2-T28-20,PASS
敷島産業（株）,東3-T24-49,PASS
たけの花,西4-T51-06,PASS
And Lee. Co,東7-T46-15,海外表記(国内から仕入れられない)
大森機械工業（株）,東2-T17-18,PASS
クレスト,東3-T25-24,PASS
シゲル工業,西1-T01-03,PASS
（株）竹六商店／東近江市商工会,西3-T45-03,団体・自治体・教育機関(メーカーでない)
UNPLACE,西1-T02-06,海外表記(国内から仕入れられない)
刺繍屋えみいと,東3-T26-46,PASS
（株）太宰府工芸-屋久杉堂-,西3-T45-01,PASS
AMVEL UMBRELLA STORE,西1-T09-11,海外表記(国内から仕入れられない)
オーロラ,東7-T44-22,PASS
CLEDRAN,東7-FS13,海外表記(国内から仕入れられない)
（公財）静岡県産業振興財団,東7-Ｔ48-02,団体・自治体・教育機関(メーカーでない)
（有）畳工房ヨシオカ,東3-T29-40,PASS
オカ,西2-T31-15,PASS
クレヨンしんちゃんジャパンクラフト,東2-T14-35,PASS
静岡県商工会連合会,東7-T49-02,団体・自治体・教育機関(メーカーでない)
（株）城屋,東7-SL10,PASS
Ewin,東2-T19-42,海外表記(国内から仕入れられない)
静岡特産工業協会／前田工業（株）,西1-T08-12,団体・自治体・教育機関(メーカーでない)
TOUCHBeauty（株）,東7-T38-33,海外表記(国内から仕入れられない)
イー・エフ・インターナショナル／エフィ,西2-T32-05,PASS
GROWING,東7-T47-02,海外表記(国内から仕入れられない)
静岡特産工業協会／（有）市川木工,西3-T43-10,団体・自治体・教育機関(メーカーでない)
タツネ,東8-T59-02,PASS
E.M Brew,西1-AC-36,海外表記(国内から仕入れられない)
グラフィックデザイナー 黒岡 めぐみ,東2-T16-11,PASS
静岡特産工業協会,西2-T20-19,団体・自治体・教育機関(メーカーでない)
（株）巽クレアティフ,西1-T12-04,PASS
EKO JAPAN（株）,西4-T55-16,海外表記(国内から仕入れられない)
岡山西商工会,東7-T34-28,団体・自治体・教育機関(メーカーでない)
静岡特産工業協会／中山家具（株）,西4-T49-20,団体・自治体・教育機関(メーカーでない)
（株）建仁,西4-T52-17,PASS
e-socks／広陵町商工会,東7-T39-37,団体・自治体・教育機関(メーカーでない)
OKARADA,西2-Ｔ25-18,海外表記(国内から仕入れられない)
たてつなぎ,西1-AC-14,PASS
（株）iiもの本舗,東8-T52-01,PASS
小川産業（株）,東2-T18-16,PASS
（株）志成販売,西2-T28-03,PASS
田中産業（株）,西1-T04-13,PASS
Yemetti,東7-MC12,海外表記(国内から仕入れられない)
小川良,東3-T27-31,PASS
クローバセフティ,東7-T49-13,PASS
自然療法サロン ミモザ,東7-T49-02,PASS
（株）衣織,東7-T34-08,PASS
オキビジャパン,東2-T19-30,PASS
七福タオル,西2-T21-19,PASS
田中帽子店,西3-T43-14,PASS
（株）いけだ iroikoi,西1-T06-12,海外表記(国内から仕入れられない)
（株）sixinch.ジャパン,西4-T50-08,海外表記(国内から仕入れられない)
（株）池田工業社,東2-T12-45,PASS
（株）奥山商会,東2-T15-46,PASS
漆芸の友 うるしの光,西2-T26-09,PASS
（株）谷口,西3-T39-03,PASS
小倉織物（株）,西3-T39-04,PASS
クロビスベビー(FUNAZAWA),西1-T13-08,PASS
漆遊館（株）澤田与三八堂,西3-T41-11,PASS
（有）谷口清雅堂,西1-T06-17,PASS
池本刷子工業（株）,西2-T26-20,PASS
小栗（株）,西2-T27-11,PASS
SHITSURAE（シツラエ）,西3-T46-04-E,海外表記(国内から仕入れられない)
（株）TANI JAPAN,西1-T08-06,海外表記(国内から仕入れられない)
OCRU®,東8-T58-13,海外表記(国内から仕入れられない)
谷村実業（株）,西2-T31-14,PASS
（公財）石川県産業創出支援機構,西3-T39-03,PASS
OSAFUNE刀飾屋,西3-T41-09,PASS
黒部商工会議所,西2-T21-20,団体・自治体・教育機関(メーカーでない)
垣衣（同）,東2-T16-42,PASS
谷元フスマ工飾（株）,西1-T01-15,PASS
（一社）石川県繊維協会,西3-T39-04,団体・自治体・教育機関(メーカーでない)
オスカージャパン,東2-T19-33,PASS
グロリア,東3-T22-32,PASS
シフレ,西4-T57-06,PASS
（有）多葉刷子工業所,西1-T01-15,PASS
（有）石川漆宝堂,西3-T39-03,PASS
ケアイズム,東7-T41-35,PASS
石川特殊特急製本（株）,東2-T17-31,PASS
オスマック,西1-T12-04,PASS
（株）島精機製作所,東7-T44-26,PASS
多摩電子工業（株）,東3-T21-33,PASS
イシケン,西2-Ｔ25-10,PASS
オスマ マグネットバックル ウイルダネスエクスペリエンス,東7-SL02,PASS
KM名古屋ドール,西3-T44-11,PASS
（株）島田小割製材所,西3-T42-03,PASS
odds／toca,西1-T04-14,海外表記(国内から仕入れられない)
（株）螢雪社,東2-T12-37,PASS
嶋田陶器（株）,西3-T39-03,PASS
ODD SOX JAPAN／（株）3rd Place,東2-T13-36,海外表記(国内から仕入れられない)
ケイ・ホスピア,東7-T36-11,PASS
"SHIMANTO DOMEKI CO., LTD.",西1-AC-27,海外表記(国内から仕入れられない)
田谷漆器店,西3-T39-03,PASS
（株）井助商店,西1-T06-17,PASS
ONIASE／鬼汗,西4-GLS-09,海外表記(国内から仕入れられない)
K-MIRU,東3-T23-39,海外表記(国内から仕入れられない)
（株）清水硝子,西3-T42-03,PASS
TANG／La pelote inc.,東7-MC29,海外表記(国内から仕入れられない)
伊豆のわさび屋 山本食品,東7-Ｔ48-02,PASS
渓流,西4-T50-17,PASS
清水産業（株）,東2-T17-04,PASS
（有）竹苑,東2-T11-42,PASS
小野寺くるみ／うるし工房源樹,西3-T41-04,PASS
ジムマスター,東7-SL01,PASS
竹巧彩／chikukousai,西1-T07-07,海外表記(国内から仕入れられない)
市川木工,西3-T43-10,PASS
（有）小原文平漆器店,西3-T39-03,PASS
（株）KLMインターナショナル,東7-T47-20,PASS
JIMOTOTE（ジモトート）,西1-T09-07,PASS
CHISHIRO,東7-MC02,海外表記(国内から仕入れられない)
いちき串木野商工会議所,西3-T43-15,団体・自治体・教育機関(メーカーでない)
kbt.,西3-T40-04,海外表記(国内から仕入れられない)
下村企販（株）,西1-T01-03,PASS
（株）一九堂印刷所,西3-T42-03,PASS
月光洲（同）,西1-GL-04,PASS
下村工業（株）,東7-T42-06,PASS
チタン箸かつき,西3-T40-04,PASS
1秒で履けるスニーカー LAQUN,東8-T56-11,PASS
（株）折玉,西3-T40-04,PASS
kepani,東7-MC64,海外表記(国内から仕入れられない)
charm,西1-AC-09,海外表記(国内から仕入れられない)
（有）いち松（塗師屋いち松）,西3-T39-03,PASS
（株）元気,東7-T49-02,PASS
若越印刷（株）,西3-T40-04,PASS
（株）1684,西3-T42-06,海外表記(国内から仕入れられない)
ジャスト,東7-T35-27,PASS
（株）Chandni,東7-FS09,海外表記(国内から仕入れられない)
（株）一心社,東2-T17-42,PASS
ガーグル,東7-FS03,PASS
kengtaro,東7-T49-02,海外表記(国内から仕入れられない)
シヤチハタ,東2-T17-40,PASS
TUIN greenery（株）,西2-T37-01,海外表記(国内から仕入れられない)
逸品社,東1-T07-28,PASS
元窯・陶アトリエ花＊花,西3-T41-04,PASS
（独）,西3-T47-01,PASS
iPPUKU RELAX,東2-T19-30,海外表記(国内から仕入れられない)
CARBON-izm,西3-T44-10,海外表記(国内から仕入れられない)
